Generic Group	Route	Type	Specialty Name	EPI	EAN13
"Groupe générique : AMOXICILLINE TRIHYDRATEE // CLAVALANATE DE POTASSIUM 100 MG / 12,5 MG POUDRE POUR SUSPENSION BUVABLE"	ORALE	G	"ECOCLAV NOURRISSON 100 MG / 12,5 MG POUDRE POUR SUSPENSION BUVABLE FLACON DE 30 ML"	PROMOPHARM	6118000242406
"Groupe générique : AMOXICILLINE TRIHYDRATEE // CLAVALANATE DE POTASSIUM 100 MG / 12,5 MG POUDRE POUR SUSPENSION BUVABLE"	ORALE	G	"NOVOCLIN 100 MG /12,5 MG POUDRE POUR SUSPENSION BUVABLE FLACON DE 30 ML"	NOVOPHARMA	6118000141341
"Groupe générique : AMOXICILLINE TRIHYDRATEE // CLAVALANATE DE POTASSIUM 100 MG / 12,5 MG POUDRE POUR SUSPENSION BUVABLE"	ORALE	G	"NOVOCLIN 100 MG /12,5 MG POUDRE POUR SUSPENSION BUVABLE FLACON DE 60 ML"	NOVOPHARMA	6118000141358
Groupe générique : ANASTROZOLE 1 MG COMPRIME PELLICULE	ORALE	P	ARIMIDEX 1 MG COMPRIME PELLICULE BOITE DE 30	MAPHAR	6118001180509
Groupe générique : ANASTROZOLE 1 MG COMPRIME PELLICULE	ORALE	G	ANABREZ 1 MG COMPRIME PELLICULE BOITE DE 28	SUN PHARMA	6118001301232
Groupe générique : ANASTROZOLE 1 MG COMPRIME PELLICULE	ORALE	G	ANASTROZOLE COOPER 1 MG COMPRIME PELLICULE BOITE DE 30	COOPER PHARMA	6118001101931
Groupe générique : ANASTROZOLE 1 MG COMPRIME PELLICULE	ORALE	G	ANASTROZOLE PHARMED 1 MG COMPRIME PELLICULE BOITE DE 28	PHARMED	6118001410040
Groupe générique : ANASTROZOLE 1 MG COMPRIME PELLICULE	ORALE	G	ANASTROZOLE ZENITH 1 MG COMPRIME PELLICULE BOITE DE 14	ZENITH PHARMA	-
Groupe générique : ANASTROZOLE 1 MG COMPRIME PELLICULE	ORALE	G	ANASTROZOLE ZENITH 1 MG COMPRIME PELLICULE BOITE DE 28	ZENITH PHARMA	6118001271443
Groupe générique : ANASTROZOLE 1 MG COMPRIME PELLICULE	ORALE	G	ARITROZOLE 1 MG COMPRIME PELLICULE BOITE DE 28	BOTTU	6118001041343
"Groupe générique : APIXABAN 2,5 MG COMPRIME PELLICULE"	ORALE	G	"APXIA 2,5 MG COMPRIMES PELLICULES BOITE DE 10"	PHARMIS	6118001400430
"Groupe générique : APIXABAN 2,5 MG COMPRIME PELLICULE"	ORALE	G	"APXIA 2,5 MG COMPRIMES PELLICULES BOITE DE 20"	PHARMIS	6118001400447
"Groupe générique : APIXABAN 2,5 MG COMPRIME PELLICULE"	ORALE	G	"APXIA 2,5 MG COMPRIMES PELLICULES BOITE DE 60"	PHARMIS	6118001400454
"Groupe générique : APIXABAN 2,5 MG COMPRIME PELLICULE"	ORALE	G	"ZAPIXAN 2,5 MG COMPRIME PELLIULE BOITE DE 10"	ISIO LABORATOIRES	6118001460144
"Groupe générique : APIXABAN 2,5 MG COMPRIME PELLICULE"	ORALE	G	"ZAPIXAN 2,5 MG COMPRIME PELLIULE BOITE DE 20"	ISIO LABORATOIRES	6118001460151
"Groupe générique : APIXABAN 2,5 MG COMPRIME PELLICULE"	ORALE	G	"ZAPIXAN 2,5 MG COMPRIME PELLIULE BOITE DE 30"	ISIO LABORATOIRES	6118001460168
"Groupe générique : APIXABAN 2,5 MG COMPRIME PELLICULE"	ORALE	G	"ZAPIXAN 2,5 MG COMPRIME PELLIULE BOITE DE 60"	ISIO LABORATOIRES	6118001460175
